Sculptor           01:0:9.4 -33:42:33 0.018 19.67 0.14 0.14  111.4  0.1  0.1  8.6 0.5 0.5  99.0  1.0  1.0 0.32 0.03 0.03 23.5 0.5 0.5  11.30  1.60  1.60  9.2  1.4  1.4 00.0 00.0 00.0 0.22 00.0 00.0 00.0  00.0 00.0 00.0 -1.68 0.01 0.01 2 (25)(26)(100)(136)(137)(130)(187)(180)
Sextans(I)        10:13:3.0  -1:36:53 0.047 19.67 0.10 0.10  224.2  0.1  0.1 10.4 0.5 0.5  56.0  5.0  5.0 0.35 0.05 0.05 27.1 0.5 0.5  27.80  1.20  1.20  7.9  1.3  1.3 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -1.93 0.01 0.01 2 (27)(26)(100)(136)(130)(180)
UrsaMajor(I)     10:34:52.8  51:55:12 0.020 19.93 0.10 0.10  -55.3  1.4  1.4 14.4 0.3 0.3  71.0  3.0  3.0 0.80 0.04 0.04 27.7 0.5 0.5  11.30  1.70  1.70  7.6  1.0  1.0 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.18 0.04 0.04 2 (28)(8)(98)(130)(179)(180)
Carina             06:41:36.7 -50:57:58 0.061 20.11 0.13 0.13  222.9  0.1  0.1 11.0 0.5 0.5  65.0  5.0  5.0 0.33 0.05 0.05 25.5 0.5 0.5   8.20  1.20  1.20  6.6  1.2  1.2 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -1.72 0.01 0.01 3 (29)(26)(100)(136)(130)(190)
Hercules           16:31:2.0  12:47:30 0.063 20.60 0.20 0.20   45.2  1.1  1.1 14.0 0.3 0.3 102.0  4.0  4.0 0.68 0.08 0.08 27.2 0.6 0.6   8.60  1.80  1.10  3.7  0.9  0.9 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.41 0.04 0.04 2 (30)(31)(98)(130)(179)(180)
Fornax             02:39:59.3 -34:26:57 0.021 20.84 0.18 0.18   55.3  0.1  0.1  7.4 0.3 0.3  41.0  1.0  1.0 0.30 0.01 0.01 23.3 0.3 0.3  16.60  1.20  1.20 11.7  0.9  0.9 00.0 00.0 00.0 0.17 00.0 00.0 00.0  00.0 00.0 00.0 -0.99 0.01 0.01 2 (29)(26)(100)(136)(138)(130)(180)
LeoIV             11:32:57.0   0:32:0 0.026 20.94 0.09 0.09  132.3  1.4  1.4 15.1 0.4 0.4 121.0  9.0  9.0 0.49 0.11 0.11 27.5 0.7 0.7   4.60  0.80  0.80  3.3  1.7  1.7 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.54 0.07 0.07 2 (32)(8)(101)(130)(179)(180)
CanesVenaticiII  12:57:10.0  34:19:15 0.010 21.02 0.06 0.06 -128.9  1.2  1.2 16.1 0.5 0.5 177.0  9.0  9.0 0.52 0.11 0.11 26.1 0.7 0.7   1.60  0.30  0.30  4.6  1.0  1.0 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.21 0.05 0.05 2 (33)(8)(98)(130)(179)(180)
LeoV              11:31:9.6   2:13:12 0.027 21.25 0.12 0.12  173.3  3.1  3.1 16.0 0.4 0.4  96.0 13.0 13.0 0.50 0.15 0.15 27.1 0.8 0.8   2.60  0.60  0.60  3.7  2.3  1.4 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.00 0.20 0.20 5 (34)(34)(101)(139)(130)
PiscesII          22:58:31.0   5:57:9 0.065 21.30 9.99 9.99  999.9  9.9  9.9 16.3 0.5 0.5  77.0 12.0 12.0 0.40 0.10 0.10 25.7 0.6 0.6   1.10  0.10  0.10 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -1.90 9.99 9.99 5 (35)
CanesVenatici(I) 13:28:3.5  33:33:21 0.014 21.69 0.10 0.10   30.9  0.6  0.6 13.1 0.2 0.2  70.0  4.0  4.0 0.39 0.03 0.03 27.1 0.2 0.2   8.90  0.40  0.40  7.6  0.4  0.4 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -1.98 0.01 0.01 2 (36)(8)(98)(130)(179)(180)
LeoII             11:13:28.8  22:9:6 0.017 21.84 0.13 0.13   78.0  0.1  0.1 12.0 0.3 0.3  12.0 10.0 10.0 0.13 0.05 0.05 24.2 0.3 0.3   2.60  0.60  0.60  6.6  0.7  0.7 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -1.62 0.01 0.01 2 (37)(22)(100)(130)(180)
LeoI              10:8:28.1  12:18:23 0.036 22.02 0.13 0.13  282.5  0.1  0.1 10.0 0.3 0.3  79.0  3.0  3.0 0.21 0.03 0.03 22.6 0.3 0.3   3.40  0.30  0.30  9.2  1.4  1.4 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -1.43 0.01 0.01 2 (38)(39)(100)(130)(180)
Andromeda           0:42:44.3  41:16:9 0.684 24.47 0.07 0.07 -300.0  4.0  4.0 99.9 9.9 9.9 999.9 99.9 99.9 9.99 9.99 9.99 99.9 9.9 9.9  99.99  9.99  9.99 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9  99.9 99.9 99.9  9.99 9.99 9.99 9 (40)(41)
